Annotator,Annotation,ID
abar7993,Business,Google 'committed' to Ireland despite plans to phase out controversial tax rules - Independent.ie
abar7993,Business,Campaigners call for online retailer to remove 'unacceptable' baby clothes branded with 'sexualised and porn-inspired imagery'
abar7993,Business,Potentially interesting
abar7993,Business,"We put your tax return hell questions to HMRC, and this is what they said"
abar7993,Business,We should be banking on a brighter future for Scotland
abar7993,Business,'Ship Your Enemies Glitter' business sells for $85K
abar7993,Business,Hamish McRae: Lessons for all as America bounces back
abar7993,Business,Apple CarPlay infotainment system has lots of potential
abar7993,Entertainment,Eastenders: Carter clan set to implode in 2015
abar7993,Entertainment,Snapper star dies
abar7993,Entertainment,Interpol's Second Act: Inside the Gloom Kings' Return
abar7993,Entertainment,Translators battle bad subtitles that lead to poor perception of Hong Kong films
abar7993,Entertainment,EW discusses: Does 'Super Smash Bros.' succeed on the 3DS? | EW.com
abar7993,Entertainment,Book quiz: How well do you know literature? Take the demonic Wigtown Book Festival pub quiz - Telegraph
abar7993,Entertainment,TOWIE's Pascal Craymer nearly spills out of plunging red dress
abar7993,Entertainment,INXS relive one of their most successful years ever and their toughest
abar7993,Entertainment,'Paddington' director on the 'sad' departure of Colin Firth | EW.com
abar7993,Entertainment,Musicians Besides Frank Who Have Preferred Masks Onstage
abar7993,Entertainment,Paul Hollywood & his wife Alexandra put on a united front at the NTAs
abar7993,Error,The weirdest moments from 30 years of 'Ninja Turtles'
abar7993,Error,"Coal is 'good for humanity', says Tony Abbott at mine opening"
abar7993,Health,"After my cancer diagnosis, my anxiety disappeared. Now I'll do anything to keep this body | Clare Atkinson"
abar7993,Health,Gene-Therapy Hope for 'Bubble Boy' Syndrome
abar7993,Other,Win one of 10 luxury holidays at the Telegraph Cruise Show - Telegraph
abar7993,Politics,Ex-NYPD cop slams 'black brunch' with gun-toting selfie
abar7993,Politics,"Obama proposes consumer data protections, even as a military Twitter account is hacked"
abar7993,Politics,Vic premier has lost the plot says Geoff Shaw after surviving expulsion
abar7993,Politics,What has the Human Rights Act done for you?
abar7993,Politics,Iraq Reaches Major Oil Deal With Kurds
abar7993,Politics,Cong escalates attack on govt through social media - The Times of India
abar7993,Politics,Kane's account of sting draws increasing fire
abar7993,Politics,Prosecutors seek to have McDonnell jailed during appeal
abar7993,Politics,"If US had a patent law like ours, they would discover many more drugs: Anand Grover - The Times of India"
abar7993,Politics,From the flower pot to Pantibar: Enda's gay support evolution
abar7993,Politics,72-hour wait for Missouri abortions takes effect next month
abar7993,Politics,Azerbaijan prosecutes a prominent human rights defenderon absurd charges.
abar7993,Politics,'Impossible' for Saudi to reduce oil output: minister
abar7993,Politics,Victorian Liberals sack candidate over role for porn star in campaign event
abar7993,Politics,"Danger Beneath: 'Fracking' Gas, Oil Pipes Threaten Rural Residents"
abar7993,Politics,Outrage as EU politicians demand extra PS8BILLION from taxpayers for Brussels budget
abar7993,Science and Technology,Tim Cook puts personal touch on iPhone 6 launch - The Times of India
abar7993,Science and Technology,The Government's bid to boost mobile coverage could easily backfire - Telegraph
abar7993,Science and Technology,Over half of all gadgets used at Christmas were made by Apple
abar7993,Science and Technology,DUBS Bring Down The Noise In Night Clubs
abar7993,Science and Technology,Coming Picture Of A Supermassive Black Hole Will Be The 'Image Of The Century'
abar7993,Science and Technology,TeradataVoice: The Catch-22 In Cyber Defense: More Isn't Always Better
abar7993,Science and Technology,Anticipating the rise of the machine
abar7993,Society,Dad crushed to death in lift as a result of 'safety breaches' - court hears - Independent.ie
abar7993,Society,What is a sinkhole?
abar7993,Society,Poppy Appeal: Amputee soldiers join Joss Stone at Cenotaph vigil
abar7993,Society,The unborn babies who are already smiling for the camera
abar7993,Society,'Parents these days' are judged too harshly
abar7993,Society,"Girl killed, 11 injured in fiery crash on 60 Freeway in South El Monte, all lanes closed"
abar7993,Society,DU to go back to reevaluation system : News
abar7993,Society,Dewani cop didn't ace it
abar7993,Society,"36 Hours in Strasbourg, France"
abar7993,Society,Kate Malonyay murdered by Elliot Coulson after uncovering web of lies: coroner
abar7993,Society,Australia's best private pools on the market
abar7993,Society,The words that ended my marriage
abar7993,Society,How to find love in 2015 without it costing the earth
abar7993,Society,Philippine storm death toll rises to six - The Times of India
abar7993,Society,EXCLUSIVE: MH370 will 'NEVER be found' as 'there's no sensible theory to where it is'
abar7993,Society,Father fatally shoots man in daughter's room in Northeast Philadelphia
abar7993,Society,30 Items We Just Know You're Going To Want For Fall
abar7993,Society,Met policeman cleared after kicking mother tending to her child in hospital
abar7993,Society,19 Things Scottish People Miss When They Move To London
abar7993,Society,Woman dies after airport scanner interferes with her pacemaker - Telegraph
abar7993,Sports,"Devastated as captain, Tendulkar wanted to quit: Autobiography - The Times of India"
abar7993,Sports,Ice hockey boy gets floored
abar7993,Sports,Nine to Know: Red Sox Stats Pack  Good at Losing Edition
abar7993,Sports,Radamel Falcao: Colombian striker 'really wants to stay' at Manchester United - but it depends on how much he plays
abar7993,Sports,"Indian women beat Japan, win bronze in Asiad hockey"
abar7993,Sports,http://www.scotsman.com/news/celebrity/andy-murray-courts-controversy-with-ss-logo-1-3662942
abar7993,Sports,"Cricket: Associations set plans for bright future | Otago Daily Times Online News : Otago, South..."
abar7993,Sports,Ryan Giggs' brother says footballer's eight-year affair with his wife 'demolished' his family
abar7993,Sports,Louis van Gaal hands out Christmas presents to fans on Boxing Day
abar7993,Sports,Leading golfer Ian Poulter accused of being out of touch with reality
abar7993,War,FBI investigating explosion outside NAACP office in Colorado - CNN.com
abar7993,War,How Britain Made James Foley's Killer
abar7993,War,Russian armoured vehicles and military trucks cross border into Ukraine  - Telegraph
ajbe6539,Business,Google 'committed' to Ireland despite plans to phase out controversial tax rules - Independent.ie
ajbe6539,Business,Over half of all gadgets used at Christmas were made by Apple
ajbe6539,Business,'Ship Your Enemies Glitter' business sells for $85K
ajbe6539,Business,Australia's best private pools on the market
ajbe6539,Business,Hamish McRae: Lessons for all as America bounces back
ajbe6539,Business,30 Items We Just Know You're Going To Want For Fall
ajbe6539,Business,Win one of 10 luxury holidays at the Telegraph Cruise Show - Telegraph
ajbe6539,Entertainment,Eastenders: Carter clan set to implode in 2015
ajbe6539,Entertainment,Snapper star dies
ajbe6539,Entertainment,Interpol's Second Act: Inside the Gloom Kings' Return
ajbe6539,Entertainment,Translators battle bad subtitles that lead to poor perception of Hong Kong films
ajbe6539,Entertainment,EW discusses: Does 'Super Smash Bros.' succeed on the 3DS? | EW.com
ajbe6539,Entertainment,Book quiz: How well do you know literature? Take the demonic Wigtown Book Festival pub quiz - Telegraph
ajbe6539,Entertainment,TOWIE's Pascal Craymer nearly spills out of plunging red dress
ajbe6539,Entertainment,INXS relive one of their most successful years ever and their toughest
ajbe6539,Entertainment,Ryan Giggs' brother says footballer's eight-year affair with his wife 'demolished' his family
ajbe6539,Entertainment,'Paddington' director on the 'sad' departure of Colin Firth | EW.com
ajbe6539,Entertainment,Musicians Besides Frank Who Have Preferred Masks Onstage
ajbe6539,Entertainment,How to find love in 2015 without it costing the earth
ajbe6539,Entertainment,From the flower pot to Pantibar: Enda's gay support evolution
ajbe6539,Entertainment,Paul Hollywood & his wife Alexandra put on a united front at the NTAs
ajbe6539,Entertainment,DUBS Bring Down The Noise In Night Clubs
ajbe6539,Error,"Coal is 'good for humanity', says Tony Abbott at mine opening"
ajbe6539,Error,Dewani cop didn't ace it
ajbe6539,Error,The words that ended my marriage
ajbe6539,Politics,Vic premier has lost the plot says Geoff Shaw after surviving expulsion
ajbe6539,Politics,Iraq Reaches Major Oil Deal With Kurds
ajbe6539,Politics,Prosecutors seek to have McDonnell jailed during appeal
ajbe6539,Politics,Azerbaijan prosecutes a prominent human rights defenderon absurd charges.
ajbe6539,Politics,'Impossible' for Saudi to reduce oil output: minister
ajbe6539,Politics,Victorian Liberals sack candidate over role for porn star in campaign event
ajbe6539,Politics,Outrage as EU politicians demand extra PS8BILLION from taxpayers for Brussels budget
ajbe6539,Science and Technology,The weirdest moments from 30 years of 'Ninja Turtles'
ajbe6539,Science and Technology,Tim Cook puts personal touch on iPhone 6 launch - The Times of India
ajbe6539,Science and Technology,DU to go back to reevaluation system : News
ajbe6539,Science and Technology,Gene-Therapy Hope for 'Bubble Boy' Syndrome
ajbe6539,Science and Technology,Apple CarPlay infotainment system has lots of potential
ajbe6539,Science and Technology,Coming Picture Of A Supermassive Black Hole Will Be The 'Image Of The Century'
ajbe6539,Science and Technology,"Danger Beneath: 'Fracking' Gas, Oil Pipes Threaten Rural Residents"
ajbe6539,Science and Technology,TeradataVoice: The Catch-22 In Cyber Defense: More Isn't Always Better
ajbe6539,Science and Technology,Anticipating the rise of the machine
ajbe6539,Society,Dad crushed to death in lift as a result of 'safety breaches' - court hears - Independent.ie
ajbe6539,Society,Ex-NYPD cop slams 'black brunch' with gun-toting selfie
ajbe6539,Society,"Obama proposes consumer data protections, even as a military Twitter account is hacked"
ajbe6539,Society,What is a sinkhole?
ajbe6539,Society,What has the Human Rights Act done for you?
ajbe6539,Society,Poppy Appeal: Amputee soldiers join Joss Stone at Cenotaph vigil
ajbe6539,Society,The unborn babies who are already smiling for the camera
ajbe6539,Society,The Government's bid to boost mobile coverage could easily backfire - Telegraph
ajbe6539,Society,'Parents these days' are judged too harshly
ajbe6539,Society,Campaigners call for online retailer to remove 'unacceptable' baby clothes branded with 'sexualised and porn-inspired imagery'
ajbe6539,Society,Potentially interesting
ajbe6539,Society,"Girl killed, 11 injured in fiery crash on 60 Freeway in South El Monte, all lanes closed"
ajbe6539,Society,FBI investigating explosion outside NAACP office in Colorado - CNN.com
ajbe6539,Society,"We put your tax return hell questions to HMRC, and this is what they said"
ajbe6539,Society,Cong escalates attack on govt through social media - The Times of India
ajbe6539,Society,We should be banking on a brighter future for Scotland
ajbe6539,Society,Kane's account of sting draws increasing fire
ajbe6539,Society,"36 Hours in Strasbourg, France"
ajbe6539,Society,How Britain Made James Foley's Killer
ajbe6539,Society,"After my cancer diagnosis, my anxiety disappeared. Now I'll do anything to keep this body | Clare Atkinson"
ajbe6539,Society,Kate Malonyay murdered by Elliot Coulson after uncovering web of lies: coroner
ajbe6539,Society,"If US had a patent law like ours, they would discover many more drugs: Anand Grover - The Times of India"
ajbe6539,Society,Philippine storm death toll rises to six - The Times of India
ajbe6539,Society,EXCLUSIVE: MH370 will 'NEVER be found' as 'there's no sensible theory to where it is'
ajbe6539,Society,Father fatally shoots man in daughter's room in Northeast Philadelphia
ajbe6539,Society,72-hour wait for Missouri abortions takes effect next month
ajbe6539,Society,Met policeman cleared after kicking mother tending to her child in hospital
ajbe6539,Society,Leading golfer Ian Poulter accused of being out of touch with reality
ajbe6539,Society,19 Things Scottish People Miss When They Move To London
